,season,round,driver,driver_points,driver_wins,driver_standings_pos
0,1950,1,farina,9.0,1,1
1,1950,1,fagioli,6.0,0,2
2,1950,1,reg_parnell,4.0,0,3
3,1950,1,cabantous,3.0,0,4
4,1950,1,rosier,2.0,0,5
5,1950,1,gerard,0.0,0,6
6,1950,1,harrison,0.0,0,7
7,1950,1,etancelin,0.0,0,8
8,1950,1,hampshire,0.0,0,9
9,1950,1,fry,0.0,0,10
10,1950,1,shawe_taylor,0.0,0,11
11,1950,1,claes,0.0,0,12
12,1950,1,fangio,0.0,0,13
13,1950,1,kelly,0.0,0,14
14,1950,1,bira,0.0,0,15
15,1950,1,murray,0.0,0,16
16,1950,1,crossley,0.0,0,17
17,1950,1,graffenried,0.0,0,18
18,1950,1,chiron,0.0,0,19
19,1950,1,martin,0.0,0,20
20,1950,1,rolt,0.0,0,21
21,1950,1,peter_walker,0.0,0,22
22,1950,1,leslie_johnson,0.0,0,23
23,1950,2,farina,9.0,1,1
24,1950,2,fangio,9.0,1,2
25,1950,2,fagioli,6.0,0,3
26,1950,2,ascari,6.0,0,4
27,1950,2,chiron,4.0,0,5
28,1950,2,reg_parnell,4.0,0,6
29,1950,2,cabantous,3.0,0,7
30,1950,2,sommer,3.0,0,8
31,1950,2,rosier,2.0,0,9
32,1950,2,bira,2.0,0,10
33,1950,2,gerard,0.0,0,11
34,1950,2,claes,0.0,0,12
35,1950,2,harrison,0.0,0,13
36,1950,2,etancelin,0.0,0,14
37,1950,2,hampshire,0.0,0,15
38,1950,2,fry,0.0,0,16
39,1950,2,shawe_taylor,0.0,0,17
40,1950,2,villoresi,0.0,0,18
41,1950,2,gonzalez,0.0,0,19
42,1950,2,kelly,0.0,0,20
43,1950,2,manzon,0.0,0,21
44,1950,2,graffenried,0.0,0,22
45,1950,2,murray,0.0,0,23
46,1950,2,crossley,0.0,0,24
47,1950,2,trintignant,0.0,0,25
48,1950,2,rol,0.0,0,26
49,1950,2,martin,0.0,0,27
50,1950,2,schell,0.0,0,28
51,1950,2,rolt,0.0,0,29
52,1950,2,peter_walker,0.0,0,30
53,1950,3,farina,9.0,1,1
54,1950,3,fangio,9.0,1,2
55,1950,3,parsons,9.0,1,3
56,1950,3,fagioli,6.0,0,4
57,1950,3,ascari,6.0,0,5
58,1950,3,holland,6.0,0,6
59,1950,3,chiron,4.0,0,7
60,1950,3,reg_parnell,4.0,0,8
61,1950,3,rose,4.0,0,9
62,1950,3,cabantous,3.0,0,10
63,1950,3,green,3.0,0,11
64,1950,3,sommer,3.0,0,12
65,1950,3,rosier,2.0,0,13
66,1950,3,bira,2.0,0,14
67,1950,3,bettenhausen,1.0,0,15
68,1950,3,chitwood,1.0,0,16
69,1950,3,gerard,0.0,0,17
70,1950,3,wallard,0.0,0,18
71,1950,3,claes,0.0,0,19
72,1950,3,harrison,0.0,0,20
73,1950,3,faulkner,0.0,0,21
74,1950,3,etancelin,0.0,0,22
75,1950,3,george_connor,0.0,0,23
76,1950,3,hampshire,0.0,0,24
77,1950,3,paul_russo,0.0,0,25
78,1950,3,flaherty,0.0,0,26
79,1950,3,fry,0.0,0,27
80,1950,3,shawe_taylor,0.0,0,28
81,1950,3,fohr,0.0,0,29
82,1950,3,darter,0.0,0,30
83,1950,4,farina,18.0,2,1
84,1950,4,fagioli,12.0,0,2
85,1950,4,fangio,9.0,1,3
86,1950,4,parsons,9.0,1,4
87,1950,4,ascari,6.0,0,5
88,1950,4,holland,6.0,0,6
89,1950,4,rosier,6.0,0,7
90,1950,4,bira,5.0,0,8
91,1950,4,chiron,4.0,0,9
92,1950,4,reg_parnell,4.0,0,10
93,1950,4,rose,4.0,0,11
94,1950,4,sommer,3.0,0,12
95,1950,4,cabantous,3.0,0,13
96,1950,4,green,3.0,0,14
97,1950,4,bonetto,2.0,0,15
98,1950,4,bettenhausen,1.0,0,16
99,1950,4,chitwood,1.0,0,17
100,1950,4,gerard,0.0,0,18
101,1950,4,graffenried,0.0,0,19
102,1950,4,wallard,0.0,0,20
103,1950,4,claes,0.0,0,21
