,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
14,1983,1,jacarepagua,False,False,True,False,False,keke_rosberg,Finnish,williams,1,15,0,0,0,0,0,0,0.0,34
5,1983,1,jacarepagua,False,False,True,False,False,prost,French,renault,2,6,0,0,0,0,0,0,0.14599999999998658,28
3,1983,1,jacarepagua,False,False,True,False,False,tambay,French,ferrari,3,4,0,0,0,0,0,0,0.23199999999999932,33
0,1983,1,jacarepagua,False,False,True,False,False,piquet,Brazilian,brabham,4,1,0,0,0,0,0,0,0.5879999999999939,30
6,1983,1,jacarepagua,False,False,True,False,False,warwick,British,toleman,5,7,0,0,0,0,0,0,0.6799999999999926,28
8,1983,1,jacarepagua,False,False,True,False,False,arnoux,French,ferrari,6,9,0,0,0,0,0,0,1.0209999999999866,34
22,1983,1,jacarepagua,False,False,True,False,False,patrese,Italian,brabham,7,23,0,0,0,0,0,0,1.431999999999988,28
17,1983,1,jacarepagua,False,False,True,False,False,cheever,American,renault,8,18,0,0,0,0,0,0,1.5249999999999915,25
1,1983,1,jacarepagua,False,False,True,False,False,lauda,Austrian,mclaren,9,2,0,0,0,0,0,0,1.5279999999999916,34
20,1983,1,jacarepagua,False,False,True,False,False,baldi,Italian,alfa,10,21,0,0,0,0,0,0,1.5999999999999943,29
25,1983,1,jacarepagua,False,False,True,False,False,alboreto,Italian,tyrrell,11,26,0,0,0,0,0,0,1.7649999999999864,26
21,1983,1,jacarepagua,False,False,True,False,False,jarier,French,ligier,12,22,0,0,0,0,0,0,1.8669999999999902,36
15,1983,1,jacarepagua,False,False,True,False,False,angelis,Italian,team_lotus,13,16,0,0,0,0,0,0,1.9279999999999973,24
16,1983,1,jacarepagua,False,False,True,False,False,guerrero,Colombian,theodore,14,17,0,0,0,0,0,0,2.167999999999992,24
24,1983,1,jacarepagua,False,False,True,False,False,giacomelli,Italian,toleman,15,25,0,0,0,0,0,0,2.2209999999999894,30
18,1983,1,jacarepagua,False,False,True,False,False,watson,British,mclaren,16,19,0,0,0,0,0,0,2.4509999999999934,36
19,1983,1,jacarepagua,False,False,True,False,False,boesel,Brazilian,ligier,17,20,0,0,0,0,0,0,3.2029999999999887,25
2,1983,1,jacarepagua,False,False,True,False,False,laffite,French,williams,18,3,0,0,0,0,0,0,3.7079999999999984,39
11,1983,1,jacarepagua,False,False,True,False,False,cecotto,Venezuelan,theodore,19,12,0,0,0,0,0,0,3.8519999999999897,27
4,1983,1,jacarepagua,False,False,True,False,False,surer,Swiss,arrows,20,5,0,0,0,0,0,0,3.941999999999993,31
9,1983,1,jacarepagua,False,False,True,False,False,sullivan,American,tyrrell,21,10,0,0,0,0,0,0,4.159999999999997,33
